Date,Open,High,Low,Close,Change %,Volume
"Aug. 05, 2011","1,200.28","1,218.11","1,168.09","1,199.38",-0.06%,"5,454,590,000"
"Aug. 04, 2011","1,260.23","1,260.23","1,199.54","1,200.07",-4.78%,"4,266,530,000"
"Aug. 03, 2011","1,254.25","1,261.20","1,234.56","1,260.34",0.50%,"6,446,940,000"
"Aug. 02, 2011","1,286.56","1,286.56","1,254.03","1,254.05",-2.56%,"5,206,290,000"
"Aug. 01, 2011","1,292.59","1,307.38","1,274.73","1,286.94",-0.41%,"4,967,390,000"
"Jul. 29, 2011","1,300.12","1,304.16","1,282.86","1,292.28",-0.65%,"5,061,190,000"
"Jul. 28, 2011","1,304.84","1,316.32","1,299.16","1,300.67",-0.32%,"4,951,800,000"
"Jul. 27, 2011","1,331.91","1,331.91","1,303.49","1,304.89",-2.03%,"3,479,040,000"
"Jul. 26, 2011","1,337.39","1,338.51","1,329.59","1,331.94",-0.41%,"4,007,050,000"
"Jul. 25, 2011","1,344.32","1,344.32","1,331.09","1,337.43",-0.56%,"3,536,890,000"
"Jul. 22, 2011","1,343.80","1,346.10","1,336.95","1,345.02",0.09%,"3,522,830,000"
"Jul. 21, 2011","1,325.65","1,347.00","1,325.65","1,343.80",1.35%,"4,837,430,000"
"Jul. 20, 2011","1,328.66","1,330.43","1,323.65","1,325.84",-0.07%,"3,767,420,000"
"Jul. 19, 2011","1,307.07","1,328.14","1,307.07","1,326.73",1.63%,"4,304,600,000"
"Jul. 18, 2011","1,315.94","1,315.94","1,295.92","1,305.44",-0.81%,"4,118,160,000"
"Jul. 15, 2011","1,308.87","1,317.70","1,307.52","1,316.14",0.56%,"4,242,760,000"
"Jul. 14, 2011","1,317.74","1,326.88","1,306.51","1,308.87",-0.67%,"4,358,570,000"
"Jul. 13, 2011","1,314.45","1,331.48","1,314.45","1,317.72",0.31%,"4,060,080,000"
"Jul. 12, 2011","1,319.61","1,327.17","1,313.33","1,313.64",-0.44%,"4,227,890,000"
"Jul. 11, 2011","1,343.31","1,343.31","1,316.42","1,319.49",-1.81%,"3,879,130,000"
"Jul. 08, 2011","1,352.39","1,352.39","1,333.71","1,343.80",-0.70%,"3,594,360,000"
"Jul. 07, 2011","1,339.62","1,356.48","1,339.62","1,353.22",1.05%,"4,069,530,000"
"Jul. 06, 2011","1,337.56","1,340.94","1,330.92","1,339.22",0.10%,"3,564,190,000"
"Jul. 05, 2011","1,339.59","1,340.89","1,334.30","1,337.88",-0.13%,"3,722,320,000"
"Jul. 01, 2011","1,320.64","1,341.01","1,318.18","1,339.67",1.44%,"3,796,930,000"
"Jun. 30, 2011","1,307.64","1,321.97","1,307.64","1,320.64",1.01%,"4,200,500,000"
"Jun. 29, 2011","1,296.85","1,309.21","1,296.85","1,307.41",0.83%,"4,347,540,000"
"Jun. 28, 2011","1,280.21","1,296.80","1,280.21","1,296.67",1.29%,"3,681,500,000"
"Jun. 27, 2011","1,268.44","1,284.91","1,267.53","1,280.10",0.92%,"3,479,070,000"
"Jun. 24, 2011","1,283.04","1,283.93","1,267.24","1,268.45",-1.17%,"3,665,340,000"
"Jun. 23, 2011","1,286.60","1,286.60","1,262.87","1,283.50",-0.28%,"4,983,450,000"
"Jun. 22, 2011","1,295.48","1,298.61","1,286.79","1,287.14",-0.65%,"3,718,420,000"
"Jun. 21, 2011","1,278.40","1,297.62","1,278.40","1,295.52",1.34%,"4,056,150,000"
"Jun. 20, 2011","1,271.50","1,280.42","1,267.56","1,278.36",0.54%,"3,464,660,000"
"Jun. 17, 2011","1,268.58","1,279.82","1,267.40","1,271.50",0.30%,"4,916,460,000"
"Jun. 16, 2011","1,265.53","1,274.11","1,258.07","1,267.64",0.18%,"3,846,250,000"
